id,hours,L,a,b,E
15,5,450,36.17999999999987,36.990000000000066,19.119999999999973
16,5,480,35.79999999999986,36.75000000000007,18.87999999999997
17,5,510,35.41999999999985,36.510000000000076,18.63999999999997
18,5,540,35.03999999999984,36.27000000000008,18.399999999999967
19,5,570,34.65999999999983,36.030000000000086,18.159999999999965
0,6,0,50.0,60.0,20.0
1,6,30,53.0,54.0,18.0
2,6,60,58.0,44.0,12.0
3,6,90,64.0,34.0,6.0
4,6,120,70.0,24.0,0.0
5,6,150,76.0,14.0,-6.0
6,6,180,82.0,4.0,-12.0
7,6,210,88.0,-6.0,-18.0
8,6,240,94.0,-16.0,-24.0
9,6,270,100.0,-26.0,-30.0
10,6,300,106.0,-36.0,-36.0
11,6,330,112.0,-46.0,-42.0
12,6,360,118.0,-56.0,-48.0
13,6,390,124.0,-66.0,-54.0
14,6,420,130.0,-76.0,-60.0
15,6,450,136.0,-86.0,-66.0
16,6,480,142.0,-96.0,-72.0
17,6,510,148.0,-106.0,-78.0
18,6,540,154.0,-116.0,-84.0
19,6,570,160.0,-126.0,-90.0
0,7,0,55.0,-50.0,40.0
1,7,30,57.0,-46.0,37.0
2,7,60,61.0,-39.0,30.0
3,7,90,65.0,-31.0,22.0
4,7,120,69.0,-23.0,14.0
5,7,150,73.0,-15.0,6.0
6,7,180,77.0,-7.0,-2.0
7,7,210,81.0,1.0,-10.0
8,7,240,85.0,9.0,-18.0
9,7,270,89.0,17.0,-26.0
10,7,300,93.0,25.0,-34.0
11,7,330,97.0,33.0,-42.0
12,7,360,101.0,41.0,-50.0
13,7,390,105.0,49.0,-58.0
14,7,420,109.0,57.0,-66.0
15,7,450,113.0,65.0,-74.0
16,7,480,117.0,73.0,-82.0
17,7,510,121.0,81.0,-90.0
18,7,540,125.0,89.0,-98.0
19,7,570,129.0,97.0,-106.0
0,8,0,45.0,20.0,-60.0
1,8,30,47.0,18.0,-55.0
2,8,60,52.0,14.0,-47.0
3,8,90,58.0,10.0,-39.0
4,8,120,64.0,6.0,-31.0
5,8,150,70.0,2.0,-23.0
6,8,180,76.0,-2.0,-15.0
7,8,210,82.0,-6.0,-7.0
8,8,240,88.0,-10.0,1.0
9,8,270,94.0,-14.0,9.0
10,8,300,100.0,-18.0,17.0
11,8,330,106.0,-22.0,25.0
12,8,360,112.0,-26.0,33.0
13,8,390,118.0,-30.0,41.0
14,8,420,124.0,-34.0,49.0
15,8,450,130.0,-38.0,57.0
16,8,480,136.0,-42.0,65.0
17,8,510,142.0,-46.0,73.0
18,8,540,148.0,-50.0,81.0
19,8,570,154.0,-54.0,89.0
0,9,0,60.0,10.0,70.0
1,9,30,63.0,9.0,65.0
2,9,60,68.0,7.0,57.0
3,9,90,74.0,5.0,49.0
4,9,120,80.0,3.0,41.0
5,9,150,86.0,1.0,33.0
6,9,180,92.0,-1.0,25.0
7,9,210,98.0,-3.0,17.0
8,9,240,104.0,-5.0,9.0
9,9,270,110.0,-7.0,1.0
10,9,300,116.0,-9.0,-7.0
11,9,330,122.0,-11.0,-15.0
12,9,360,128.0,-13.0,-23.0
13,9,390,134.0,-15.0,-31.0
14,9,420,140.0,-17.0,-39.0
15,9,450,146.0,-19.0,-47.0
16,9,480,152.0,-21.0,-55.0
17,9,510,158.0,-23.0,-63.0
18,9,540,164.0,-25.0,-71.0
19,9,570,170.0,-27.0,-79.0
0,10,0,40.0,-20.0,-30.0
1,10,30,43.0,-18.0,-27.0
2,10,60,49.0,-14.0,-22.0
3,10,90,55.0,-10.0,-16.0
4,10,120,61.0,-6.0,-10.0
5,10,150,67.0,-2.0,-4.0
6,10,180,73.0,2.0,2.0
7,10,210,79.0,6.0,8.0
8,10,240,85.0,10.0,14.0
9,10,270,91.0,14.0,20.0
10,10,300,97.0,18.0,26.0
11,10,330,103.0,22.0,32.0
12,10,360,109.0,26.0,38.0
13,10,390,115.0,30.0,44.0
14,10,420,121.0,34.0,50.0
15,10,450,127.0,38.0,56.0
16,10,480,133.0,42.0,62.0
17,10,510,139.0,46.0,68.0
18,10,540,145.0,50.0,74.0
19,10,570,151.0,54.0,80.0
0,11,0,48.0,30.0,50.0
1,11,30,51.0,27.0,45.0
2,11,60,57.0,21.0,39.0
3,11,90,63.0,15.0,33.0
4,11,120,69.0,9.0,27.0
5,11,150,75.0,3.0,21.0
6,11,180,81.0,-3.0,15.0
7,11,210,87.0,-9.0,9.0
8,11,240,93.0,-15.0,3.0
9,11,270,99.0,-21.0,-3.0
10,11,300,105.0,-27.0,-9.0
11,11,330,111.0,-33.0,-15.0
12,11,360,117.0,-39.0,-21.0
13,11,390,123.0,-45.0,-27.0
14,11,420,129.0,-51.0,-33.0
15,11,450,135.0,-57.0,-39.0
16,11,480,141.0,-63.0,-45.0
17,11,510,147.0,-69.0,-51.0
18,11,540,153.0,-75.0,-57.0
19,11,570,159.0,-81.0,-63.0
0,12,0,52.0,-40.0,10.0
1,12,30,55.0,-37.0,8.0
2,12,60,61.0,-32.0,4.0
3,12,90,67.0,-26.0,0.0
4,12,120,73.0,-20.0,-4.0
5,12,150,79.0,-14.0,-8.0
6,12,180,85.0,-8.0,-12.0
7,12,210,91.0,-2.0,-16.0
8,12,240,97.0,4.0,-20.0
9,12,270,103.0,10.0,-24.0
10,12,300,109.0,16.0,-28.0
11,12,330,115.0,22.0,-32.0
12,12,360,121.0,28.0,-36.0
13,12,390,127.0,34.0,-40.0
14,12,420,133.0,40.0,-44.0
15,12,450,139.0,46.0,-48.0
16,12,480,145.0,52.0,-52.0
17,12,510,151.0,58.0,-56.0
18,12,540,157.0,64.0,-60.0
19,12,570,163.0,70.0,-64.0
0,13,0,45.0,15.0,15.0
1,13,30,47.0,14.0,12.0
2,13,60,51.0,10.0,8.0
3,13,90,55.0,6.0,4.0
4,13,120,59.0,2.0,0.0
5,13,150,63.0,-2.0,-4.0
6,13,180,67.0,-6.0,-8.0
7,13,210,71.0,-10.0,-12.0
8,13,240,75.0,-14.0,-16.0
9,13,270,79.0,-18.0,-20.0
10,13,300,83.0,-22.0,-24.0
11,13,330,87.0,-26.0,-28.0
12,13,360,91.0,-30.0,-32.0
13,13,390,95.0,-34.0,-36.0
14,13,420,99.0,-38.0,-40.0
15,13,450,103.0,-42.0,-44.0
16,13,480,107.0,-46.0,-48.0
17,13,510,111.0,-50.0,-52.0
18,13,540,115.0,-54.0,-56.0
19,13,570,119.0,-58.0,-60.0
0,14,0,60.0,25.0,-10.0
1,14,30,63.0,22.0,-8.0
2,14,60,69.0,17.0,-4.0
3,14,90,75.0,11.0,0.0
4,14,120,81.0,5.0,4.0
5,14,150,87.0,-1.0,8.0
6,14,180,93.0,-7.0,12.0
7,14,210,99.0,-13.0,16.0
8,14,240,105.0,-19.0,20.0
9,14,270,111.0,-25.0,24.0
10,14,300,117.0,-31.0,28.0
11,14,330,123.0,-37.0,32.0
12,14,360,129.0,-43.0,36.0
13,14,390,135.0,-49.0,40.0
14,14,420,141.0,-55.0,44.0
15,14,450,147.0,-61.0,48.0
16,14,480,153.0,-67.0,52.0
17,14,510,159.0,-73.0,56.0
18,14,540,165.0,-79.0,60.0
19,14,570,171.0,-85.0,64.0
0,15,0,40.0,45.0,-20.0
1,15,30,43.0,41.0,-18.0
2,15,60,49.0,35.0,-12.0
3,15,90,55.0,29.0,-6.0
4,15,120,61.0,23.0,0.0
5,15,150,67.0,17.0,6.0
6,15,180,73.0,11.0,12.0
7,15,210,79.0,5.0,18.0
8,15,240,85.0,-1.0,24.0
9,15,270,91.0,-7.0,30.0
10,15,300,97.0,-13.0,36.0
11,15,330,103.0,-19.0,42.0
12,15,360,109.0,-25.0,48.0
13,15,390,115.0,-31.0,54.0
14,15,420,121.0,-37.0,60.0
15,15,450,127.0,-43.0,66.0
16,15,480,133.0,-49.0,72.0
17,15,510,139.0,-55.0,78.0
18,15,540,145.0,-61.0,84.0
19,15,570,151.0,-67.0,90.0
0,16,0,55.0,-30.0,-40.0
1,16,30,58.0,-28.0,-36.0
2,16,60,64.0,-23.0,-30.0
3,16,90,70.0,-17.0,-24.0
4,16,120,76.0,-11.0,-18.0
5,16,150,82.0,-5.0,-12.0
6,16,180,88.0,1.0,-6.0
7,16,210,94.0,7.0,0.0
8,16,240,100.0,13.0,6.0
9,16,270,106.0,19.0,12.0
10,16,300,112.0,25.0,18.0
11,16,330,118.0,31.0,24.0
12,16,360,124.0,37.0,30.0
13,16,390,130.0,43.0,36.0
14,16,420,136.0,49.0,42.0
15,16,450,142.0,55.0,48.0
16,16,480,148.0,61.0,54.0
17,16,510,154.0,67.0,60.0
18,16,540,160.0,73.0,66.0
19,16,570,166.0,79.0,72.0
0,17,0,50.0,5.0,60.0
1,17,30,53.0,4.0,56.0
2,17,60,59.0,2.0,50.0
3,17,90,65.0,0.0,44.0
4,17,120,71.0,-2.0,38.0
5,17,150,77.0,-4.0,32.0
6,17,180,83.0,-6.0,26.0
7,17,210,89.0,-8.0,20.0
8,17,240,95.0,-10.0,14.0
9,17,270,101.0,-12.0,8.0
10,17,300,107.0,-14.0,2.0
11,17,330,113.0,-16.0,-4.0
12,17,360,119.0,-18.0,-10.0
13,17,390,125.0,-20.0,-16.0
14,17,420,131.0,-22.0,-22.0
15,17,450,137.0,-24.0,-28.0
16,17,480,143.0,-26.0,-34.0
17,17,510,149.0,-28.0,-40.0
18,17,540,155.0,-30.0,-46.0
19,17,570,161.0,-32.0,-52.0
0,18,0,45.0,-10.0,45.0
1,18,30,48.0,-9.0,42.0
2,18,60,54.0,-7.0,38.0
3,18,90,60.0,-5.0,34.0
4,18,120,66.0,-3.0,30.0
5,18,150,72.0,-1.0,26.0
6,18,180,78.0,1.0,22.0
7,18,210,84.0,3.0,18.0
8,18,240,90.0,5.0,14.0
9,18,270,96.0,7.0,10.0
10,18,300,102.0,9.0,6.0
11,18,330,108.0,11.0,2.0
12,18,360,114.0,13.0,-2.0
13,18,390,120.0,15.0,-6.0
14,18,420,126.0,17.0,-10.0
15,18,450,132.0,19.0,-14.0
16,18,480,138.0,21.0,-18.0
17,18,510,144.0,23.0,-22.0
18,18,540,150.0,25.0,-26.0
19,18,570,156.0,27.0,-30.0
0,19,0,55.0,40.0,-30.0
1,19,30,58.0,37.0,-27.0
2,19,60,64.0,31.0,-21.0
3,19,90,70.0,25.0,-15.0
4,19,120,76.0,19.0,-9.0
5,19,150,82.0,13.0,-3.0
6,19,180,88.0,7.0,3.0
7,19,210,94.0,1.0,9.0
8,19,240,100.0,-5.0,15.0
9,19,270,106.0,-11.0,21.0
10,19,300,112.0,-17.0,27.0
11,19,330,118.0,-23.0,33.0
12,19,360,124.0,-29.0,39.0
13,19,390,130.0,-35.0,45.0
14,19,420,136.0,-41.0,51.0
15,19,450,142.0,-47.0,57.0
16,19,480,148.0,-53.0,63.0
17,19,510,154.0,-59.0,69.0
18,19,540,160.0,-65.0,75.0
19,19,570,166.0,-71.0,81.0
0,20,0,40.0,-45.0,20.0
1,20,30,43.0,-41.0,18.0
2,20,60,49.0,-35.0,14.0
3,20,90,55.0,-29.0,10.0
4,20,120,61.0,-23.0,6.0
5,20,150,67.0,-17.0,2.0
6,20,180,73.0,-11.0,-2.0
7,20,210,79.0,-5.0,-6.0
8,20,240,85.0,1.0,-10.0
9,20,270,91.0,7.0,-14.0
10,20,300,97.0,13.0,-18.0
11,20,330,103.0,19.0,-22.0
12,20,360,109.0,25.0,-26.0
13,20,390,115.0,31.0,-30.0
14,20,420,121.0,37.0,-34.0
15,20,450,127.0,43.0,-38.0
16,20,480,133.0,49.0,-42.0
17,20,510,139.0,55.0,-46.0
18,20,540,145.0,61.0,-50.0
19,20,570,151.0,67.0,-54.0
